import time: self [us] | cumulative | imported package
import time:       500 |        500 |                 rich.control
import time:       780 |        780 |                 rich.emoji
import time:      1914 |       4316 |               rich.text
import time:       466 |       4782 |             rich._log_render
import time:       682 |        682 |             rich.highlighter
import time:       860 |        860 |             rich.markup
import time:       318 |        318 |             rich.pager
import time:       215 |        215 |               array
import time:       389 |        389 |                   attr._compat
import time:        72 |         72 |                     unicodedata
import time:       229 |        229 |                     attr._config
import time:       410 |        410 |                       attr.exceptions
import time:       248 |        658 |                     attr.setters
import time:      2677 |       3635 |                   attr._make
import time:       532 |       4554 |                 attr.converters
import time:       268 |        268 |                 attr.filters
import time:      3242 |       3242 |                 attr.validators
import time:       292 |        292 |                 attr._cmp
import time:       288 |        288 |                 attr._funcs
import time:       381 |        381 |                 attr._next_gen
import time:       685 |        685 |                 attr._version_info
import time:       615 |      10322 |               attr
import time:       276 |        276 |               rich.abc
import time:      2403 |      13214 |             rich.pretty
import time:      1210 |       1210 |             rich.region
import time:       460 |        460 |                 rich.padding
import time:       511 |        970 |               rich.panel
import time:       719 |        719 |                         numbers
import time:       841 |       1559 |                       _decimal
import time:       391 |       1950 |                     decimal
import time:      1198 |       3147 |                   fractions
import time:       523 |       3670 |                 rich._ratio
import time:      1897 |       5566 |               rich.table
import time:       499 |       7035 |             rich.scope
import time:       330 |        330 |             rich.screen
import time:       266 |        266 |             rich.styled
import time:      4337 |      44840 |           rich.console
import time:       645 |      45484 |         rich.columns
import time:       168 |        168 |                     markdown_it.common
import time:       520 |        520 |                     markdown_it.common.entities
import time:      2602 |       3288 |                   markdown_it.common.utils
import time:       532 |       3819 |                 markdown_it.helpers.parse_link_destination
import time:       207 |        207 |                         markdown_it._compat
import time:       590 |        590 |                           markdown_it.utils
import time:       965 |       1554 |                         markdown_it.ruler
import time:      1020 |       1020 |                         markdown_it.token
import time:       893 |       3673 |                       markdown_it.rules_inline.state_inline
import time:       623 |       4296 |                     markdown_it.rules_inline.emphasis
import time:       475 |        475 |                     markdown_it.rules_inline.strikethrough
import time:       561 |        561 |                     markdown_it.rules_inline.autolink
import time:       467 |        467 |                     markdown_it.rules_inline.backticks
import time:       211 |        211 |                     markdown_it.rules_inline.balance_pairs
import time:       530 |        530 |                     markdown_it.rules_inline.entity
import time:       346 |        346 |                     markdown_it.rules_inline.escape
import time:       182 |        182 |                     markdown_it.rules_inline.fragments_join
import time:      1213 |       1213 |                       markdown_it.common.html_re
import time:       217 |       1430 |                     markdown_it.rules_inline.html_inline
import time:       258 |        258 |                     markdown_it.rules_inline.image
import time:       205 |        205 |                     markdown_it.rules_inline.link
import time:       465 |        465 |                     markdown_it.rules_inline.linkify
import time:       326 |        326 |                     markdown_it.rules_inline.newline
import time:       178 |        178 |                     markdown_it.rules_inline.text
import time:       873 |      10795 |                   markdown_it.rules_inline
